Departamento,Municipio,Nivel de riesgo,CODIGO,COD_DEP
Alta Verapaz,Cahabón,3,1612,16
Alta Verapaz,Chahal,2,1614,16
Alta Verapaz,Chisec,2,1613,16
Alta Verapaz,Cobán,2,1601,16
Alta Verapaz,Fray Bartolomé de las Casas,3,1615,16
Alta Verapaz,Lanquín,3,1611,16
Alta Verapaz,Panzós,2,1607,16
Alta Verapaz,Raxruja,2,1617,16
Alta Verapaz,San Cristóbal Verapaz,3,1603,16
Alta Verapaz,San Juan Chamelco,2,1610,16
Alta Verapaz,San Pedro Carchá,4,1609,16
Alta Verapaz,Santa Catarina La Tinta,2,1616,16
Alta Verapaz,Santa Cruz Verapaz,3,1602,16
Alta Verapaz,Senahú,2,1608,16
Alta Verapaz,Tactic,2,1604,16
Alta Verapaz,Tamahú,2,1605,16
Alta Verapaz,Tucurú,3,1606,16
Baja Verapaz,Cubulco,3,1504,15
Baja Verapaz,El Chol,3,1506,15
Baja Verapaz,Granados,2,1505,15
Baja Verapaz,Purulhá,3,1508,15
Baja Verapaz,Rabinal,3,1503,15
Baja Verapaz,Salamá,2,1501,15
Baja Verapaz,San Jerónimo,3,1507,15
Baja Verapaz,San Miguel Chicaj,2,1502,15
Chimaltenango,Acatenango,3,411,4
Chimaltenango,Chimaltenango,3,401,4
Chimaltenango,Comalapa,2,404,4
Chimaltenango,El Tejar,3,416,4
Chimaltenango,Parramos,3,414,4
Chimaltenango,Patzicía,3,409,4
Chimaltenango,Patzún,3,407,4
Chimaltenango,Pochuta,3,408,4
Chimaltenango,San Andrés Itzapa,2,413,4
Chimaltenango,San José Poaquil,3,402,4
Chimaltenango,San Martín Jilotepeque,3,403,4
Chimaltenango,Santa Apolonia,2,405,4
Chimaltenango,Santa Cruz Balanyá,2,410,4
Chimaltenango,Tecpán Guatemala,2,406,4
Chimaltenango,Yepocapa,2,412,4
Chimaltenango,Zaragoza,2,415,4
Chiquimula,Camotán,3,2005,20
Chiquimula,Chiquimula,4,2001,20
Chiquimula,Concepción Las Minas,4,2008,20
Chiquimula,Esquipulas,3,2007,20
Chiquimula,Ipala,3,2011,20
Chiquimula,Jocotán,3,2004,20
Chiquimula,Olopa,3,2006,20
Chiquimula,Quezaltepeque,4,2009,20
Chiquimula,San Jacinto,3,2010,20
Chiquimula,San José La Arada,4,2002,20
Chiquimula,San Juan la Ermita,3,2003,20
El Progreso,El Jícaro,3,205,2
El Progreso,Guastatoya,3,201,2
El Progreso,Morazán,4,202,2
El Progreso,San Agustín Acasaguastlán,4,203,2
El Progreso,San Antonio La Paz,3,208,2
El Progreso,San Cristóbal Acasaguastlan,3,204,2
El Progreso,Sanarate,2,206,2
El Progreso,Sansare,3,207,2
Escuintla,Escuintla,3,501,5
Escuintla,Guanagazapa,3,508,5
Escuintla,Iztapa,3,510,5
Escuintla,La Democracia,4,503,5
Escuintla,La Gomera,2,507,5
Escuintla,Masagua,3,505,5
Escuintla,Nueva Concepción,4,513,5
Escuintla,Palín,3,511,5
Escuintla,San José,2,509,5
Escuintla,San Vicente Pacaya,3,512,5
Escuintla,Santa Lucia Cotzulmalguapa,2,502,5
Escuintla,Siquinalá,3,504,5
Escuintla,Tiquisate,3,506,5
Guatemala,Amatitlán,4,114,1
Guatemala,Chinautla,4,106,1
Guatemala,Chuarrancho,3,112,1
Guatemala,Fraijanes,3,113,1
Guatemala,Guatemala,4,101,1
Guatemala,Mixco,3,108,1
Guatemala,Palencia,3,105,1
Guatemala,Petapa,3,117,1
Guatemala,San José del Golfo,3,104,1
Guatemala,San José Pinula,2,103,1
Guatemala,San Juan Sacatepéquez,4,110,1
Guatemala,San Pedro Ayampuc,3,107,1
Guatemala,San Pedro Sacatepéquez,3,109,1
Guatemala,San Raymundo,3,111,1
Guatemala,Santa Catarina Pinula,3,102,1
Guatemala,Villa Canales,3,116,1
Guatemala,Villa Nueva,3,115,1
Huehuetenango,Aguacatán,3,1327,13
Huehuetenango,Barillas,3,1326,13
Huehuetenango,Chiantla,3,1302,13
Huehuetenango,Colotenango,2,1319,13
Huehuetenango,Concepción Huista,2,1322,13
Huehuetenango,Cuilco,4,1304,13
Huehuetenango,Huehuetenango,3,1301,13
Huehuetenango,Jacaltenango,3,1307,13
Huehuetenango,La Democracia,3,1312,13
Huehuetenango,La Libertad,3,1311,13
Huehuetenango,Malacatancito,3,1303,13
Huehuetenango,Nentón,3,1305,13
Huehuetenango,Petatán,3,,13
Huehuetenango,San Antonio Huista,2,1324,13
Huehuetenango,San Gaspar Ixchil,3,1329,13
Huehuetenango,San Idelfonso Ixtahuacán,2,1309,13
Huehuetenango,San Juan Atitán,3,1316,13
Huehuetenango,San Juan Ixcoy,4,1323,13
Huehuetenango,San Mateo Ixtatán,3,1318,13
Huehuetenango,San Miguel Acatán,4,1313,13
Huehuetenango,San Pedro Necta,3,1306,13
Huehuetenango,San Rafael La Independencia,3,1314,13
Huehuetenango,San Rafael Pétzal,4,1328,13
